,Category,NR,WR,SR,ER,NER,Total,Date
9,O/D/U/D(MU),-11.2,-2.1,2.1,7.6,-0.9,,30.04.20
10,Central,7235,19328,9732,2830,649,,30.04.20
11,State,19208,23939,14918,7382,11,,30.04.20
12,Coal,327,936,346,374,7,,30.04.20
13,Lignite,22,15,38,0,0,,30.04.20
14,Hydro,233,34,64,68,7,,30.04.20
15,Nuclear,27,36,44,0,0,,30.04.20
0,Demand Met during Evening Peak hrs(MW),50136,49756,43995,22269,2646,,30.04.21
1,Peak Shortage (MW),350,0,0,0,70,,30.04.21
2,Energy Met (MU),1097,1277,1050,481,52,,30.04.21
3,Hydro Gen (MU),149,54,71,40,10,,30.04.21
4,Wind Gen (MU),13,60,24,-,-,,30.04.21
5,Solar Gen (MU),44.61,36.05,106.6,4.98,0.2,,30.04.21
6,Energy Shortage (MU),6.42,0,0,0,1.11,,30.04.21
7,Schedule(MU),254.7,-325,142.4,-82.6,10.5,,30.04.21
8,Actual(MU),247.7,-336.8,157.8,-87.3,13.5,,30.04.21
9,O/D/U/D(MU),-7,-11.8,15.4,-4.7,3,,30.04.21
10,Central,4877,14233,7602,548,947,,30.04.21
11,State,12615,12563,6495,3835,11,,30.04.21
12,Coal,565,1382,563,566,12,,30.04.21
13,Lignite,22,10,50,0,0,,30.04.21
14,Hydro,149,54,71,40,10,,30.04.21
15,Nuclear,21,28,59,0,0,,30.04.21
0,Demand Met during Evening Peak hrs(MW),57187,60654,47621,19074,2414,,30.04.22
1,Peak Shortage (MW),3758,1554,60,444,0,,30.04.22
2,Energy Met (MU),1371,1513,1161,476,41,,30.04.22
3,Hydro Gen (MU),206,39,82,54,12,,30.04.22
4,Wind Gen (MU),14,160,94,-,-,,30.04.22
5,Solar Gen (MU),100.94,54.83,113.31,4.39,0.54,,30.04.22
6,Energy Shortage (MU),88.17,31.43,0.26,7.53,0.43,,30.04.22
7,Schedule(MU),186.7,-151.7,89.9,-118.1,-6.8,,30.04.22
8,Actual(MU),194.7,-154.3,81.1,-112.5,-9.9,,30.04.22
9,O/D/U/D(MU),8,-2.6,-8.8,5.6,-3.1,,30.04.22
10,Central,3549,13075,5628,2175,1125,,30.04.22
11,State,8159,11471,4967,1910,47,,30.04.22
12,Coal,768,1370,658,573,15,,30.04.22
13,Lignite,21,16,50,0,0,,30.04.22
14,Hydro,206,39,82,54,12,,30.04.22
15,Nuclear,25,33,46,0,0,,30.04.22
0,Demand Met during Evening Peak hrs(MW),45268,50510,42472,20046,2571,,30.04.23
1,Peak Shortage (MW),0,0,0,443,32,,30.04.23
2,Energy Met (MU),1047,1201,1037,490,48,,30.04.23
3,Hydro Gen (MU),176,17,50,41,15,,30.04.23
4,Wind Gen (MU),8,60,34,-,-,,30.04.23
5,Solar Gen (MU),99.62,51.48,116.33,5.15,1.1,,30.04.23
6,Energy Shortage (MU),0.89,0,0,4.02,1.3,,30.04.23
7,Schedule(MU),135.9,-183.7,148.1,-97.4,-2.9,,30.04.23
8,Actual(MU),127.5,-176,150.4,-102.9,-2.3,,30.04.23
9,O/D/U/D(MU),-8.5,7.7,2.3,-5.5,0.6,,30.04.23
10,Central,5517,9631,4908,1370,425,,30.04.23
11,State,9852,14062,4901,1390,264,,30.04.23
12,Coal,640,1300,605,629,11,,30.04.23
13,Lignite,23,20,49,0,0,,30.04.23
14,Hydro,176,17,50,41,15,,30.04.23
15,Nuclear,29,33,69,0,0,,30.04.23
0,Demand Met during Evening Peak hrs(MW),51455,49195,40714,20904,2470,164739,30.05.18
1,Peak Shortage (MW),426,36,0,0,172,634,30.05.18
2,Energy Met (MU),1258,1208,909,426,43,3843,30.05.18
3,Hydro Gen (MU),197,18,40,76,23,354,30.05.18
4,Wind Gen (MU),27,130,131,----------,----------,288,30.05.18
5,Solar Gen (MU),20.04,19.7,58.37,0.71,0.03,99,30.05.18
6,Energy Shortage (MU),10.9,0,0,0,2.2,13.1,30.05.18
7,Schedule(MU),243.1,-227.8,53.1,-65.5,-7.5,-4.6,30.05.18
8,Actual(MU),261.5,-232.7,35.1,-60.6,-10.2,-7,30.05.18
9,O/D/U/D(MU),18.4,-4.9,-18,4.8,-2.7,-2.4,30.05.18
10,Central,4318,11832,6872,1760,136,24918,30.05.18
11,State,5690,15481,5140,4695,50,31056,30.05.18
12,Thermal (Coal & Lignite),679,1211,541,435,9,2874,30.05.18
13,Hydro,197,18,42,76,23,355,30.05.18
14,Nuclear,30,29,37,0,0,96,30.05.18
15,"Gas, Naptha & Diesel",40,59,19,0,23,141,30.05.18
0,Demand Met during Evening Peak hrs(MW),55876,51761,43693,22349,2702,176381,30.05.19
1,Peak Shortage (MW),884,0,0,0,114,998,30.05.19
2,Energy Met (MU),1306,1260,1024,490,48,4129,30.05.19
3,Hydro Gen (MU),259,21,47,75,16,418,30.05.19
4,Wind Gen (MU),16,96,72,----------,----------,184,30.05.19
5,Solar Gen (MU),28.63,25.9,83.22,1.05,0.05,139,30.05.19
6,Energy Shortage (MU),12.9,0,0,0,1.3,14.2,30.05.19
7,Schedule(MU),237.4,-284.3,91,-37.1,-7,0,30.05.19
8,Actual(MU),252.6,-305.3,94,-35.4,-6.8,-0.8,30.05.19
9,O/D/U/D(MU),15.2,-21,3,1.7,0.2,-0.8,30.05.19
10,Central,4824,11639,7322,1450,77,25312,30.05.19
11,State,8120,11505,3590,3590,50,26855,30.05.19
12,Coal,662,1318,586,479,16,3060,30.05.19
13,Lignite,25,14,46,0,0,85,30.05.19
14,Hydro,259,21,47,75,16,418,30.05.19
15,Nuclear,27,31,58,0,0,116,30.05.19
0,Demand Met during Evening Peak hrs(MW),37932,43829,37211,17068,2472,,30.05.20
1,Peak Shortage (MW),463,0,0,0,7,,30.05.20
2,Energy Met (MU),956,1111,919,375,43,,30.05.20
3,Hydro Gen (MU),286,34,81,97,17,,30.05.20
4,Wind Gen (MU),22,111,56,-,-,,30.05.20
5,Solar Gen (MU),36.26,26.48,72.53,5.12,0.03,,30.05.20
6,Energy Shortage (MU),10,0,0,0,0,,30.05.20
7,Schedule(MU),197.8,-221.7,127.6,-97.5,-6.2,,30.05.20
8,Actual(MU),173.1,-216.2,142.5,-97.8,-4.8,,30.05.20
9,O/D/U/D(MU),-24.7,5.6,14.9,-0.3,1.4,,30.05.20
10,Central,4885,20044,7762,1645,344,,30.05.20
11,State,16690,19390,11058,5146,11,,30.05.20
12,Coal,361,1000,427,409,8,,30.05.20
13,Lignite,20,16,39,0,0,,30.05.20
14,Hydro,286,34,81,97,17,,30.05.20
15,Nuclear,27,36,54,0,0,,30.05.20
0,Demand Met during Evening Peak hrs(MW),45197,45978,35622,21493,2844,,30.05.21
1,Peak Shortage (MW),540,0,0,0,10,,30.05.21
2,Energy Met (MU),1069,1137,899,453,52,,30.05.21
3,Hydro Gen (MU),265,48,75,111,16,,30.05.21
4,Wind Gen (MU),42,118,145,-,-,,30.05.21
5,Solar Gen (MU),48.25,37.92,106.65,5.28,0.25,,30.05.21
6,Energy Shortage (MU),3.91,0,0,0,0.04,,30.05.21
7,Schedule(MU),260.8,-234.7,74.4,-108.1,7.6,,30.05.21
8,Actual(MU),230.1,-230.8,90.7,-102.5,8.1,,30.05.21
9,O/D/U/D(MU),-30.7,3.8,16.3,5.6,0.6,,30.05.21
10,Central,7097,18513,9522,930,772,,30.05.21
11,State,14733,19129,13298,4715,19,,30.05.21
12,Coal,418,1109,343,473,11,,30.05.21
13,Lignite,20,12,48,0,0,,30.05.21
14,Hydro,265,48,75,111,16,,30.05.21
15,Nuclear,30,25,66,0,0,,30.05.21
0,Demand Met during Evening Peak hrs(MW),57180,57714,44582,23240,2856,,30.05.22
1,Peak Shortage (MW),143,0,69,961,0,,30.05.22
2,Energy Met (MU),1381,1413,1081,538,57,,30.05.22
3,Hydro Gen (MU),242,51,82,58,20,,30.05.22
4,Wind Gen (MU),47,200,138,-,-,,30.05.22
5,Solar Gen (MU),108.42,48.65,118.56,5.02,0.74,,30.05.22
6,Energy Shortage (MU),5.69,0,0.55,8.27,0,,30.05.22
7,Schedule(MU),224.7,-189.6,41.3,-81.3,5,,30.05.22
8,Actual(MU),212.1,-183.4,43.2,-77.8,0.8,,30.05.22
9,O/D/U/D(MU),-12.7,6.3,1.9,3.6,-4.3,,30.05.22
10,Central,3243,12226,5148,2110,663,,30.05.22
11,State,8735,12963,7530,1240,97,,30.05.22
12,Coal,718,1290,570,601,16,,30.05.22
13,Lignite,20,12,70,0,0,,30.05.22
14,Hydro,242,51,82,58,20,,30.05.22
15,Nuclear,24,33,44,0,0,,30.05.22
0,Demand Met during Evening Peak hrs(MW),47900,42593,40283,19337,2626,152739,30.06.18
1,Peak Shortage (MW),1146,156,15,0,186,1503,30.06.18
2,Energy Met (MU),1085,998,894,423,50,3449,30.06.18
3,Hydro Gen (MU),285,20,71,84,24,484,30.06.18
4,Wind Gen (MU),8,71,126,----------,----------,204,30.06.18
5,Solar Gen (MU),14.22,14.39,48.24,0.72,0.02,78,30.06.18
6,Energy Shortage (MU),8.6,0,0.1,0,1.5,10.2,30.06.18
7,Schedule(MU),247.4,-226.9,57.4,-79.5,0.2,-1.3,30.06.18
8,Actual(MU),263.9,-238.4,41.3,-70.7,-1.9,-5.8,30.06.18
9,O/D/U/D(MU),16.5,-11.4,-16.2,8.8,-2.1,-4.4,30.06.18
10,Central,6089,12966,10032,445,118,29650,30.06.18
11,State,5835,17393,8970,5755,50,38003,30.06.18
12,Thermal (Coal & Lignite),484,1073,495,432,8,2492,30.06.18
13,Hydro,285,20,72,84,24,486,30.06.18
14,Nuclear,31,30,45,0,0,106,30.06.18
15,"Gas, Naptha & Diesel",29,47,16,0,23,115,30.06.18
0,Demand Met during Evening Peak hrs(MW),60121,44841,41010,21404,2832,170208,30.06.19
1,Peak Shortage (MW),2260,0,0,0,98,2358,30.06.19
2,Energy Met (MU),1482,1034,949,457,51,3974,30.06.19
3,Hydro Gen (MU),338,12,35,94,25,504,30.06.19
4,Wind Gen (MU),41,126,201,----------,----------,368,30.06.19
5,Solar Gen (MU),28.35,17.33,62.52,2.23,0.03,110,30.06.19
6,Energy Shortage (MU),18.8,0,0,0,2.6,21.4,30.06.19
7,Schedule(MU),325.1,-290.7,36.1,-61.9,-8.7,-0.1,30.06.19
8,Actual(MU),351.1,-311.1,27.1,-65.2,-7.8,-5.8,30.06.19
9,O/D/U/D(MU),25.9,-20.3,-8.9,-3.3,0.9,-5.8,30.06.19
10,Central,5070,16900,8002,1525,56,31553,30.06.19
11,State,5195,16476,7220,3800,50,32741,30.06.19
12,Coal,652,1103,484,456,10,2704,30.06.19
13,Lignite,19,16,47,0,0,82,30.06.19
14,Hydro,338,12,35,94,25,504,30.06.19
15,Nuclear,27,31,55,0,0,113,30.06.19
0,Demand Met during Evening Peak hrs(MW),56119,41942,36159,20570,2690,,30.06.20
1,Peak Shortage (MW),427,0,0,0,15,,30.06.20
2,Energy Met (MU),1335,1017,857,416,47,,30.06.20
3,Hydro Gen (MU),354,59,82,143,31,,30.06.20
4,Wind Gen (MU),48,46,73,-,-,,30.06.20
5,Solar Gen (MU),39,22.5,71.99,4.73,0.03,,30.06.20
6,Energy Shortage (MU),9.5,0,0,0,0.9,,30.06.20
7,Schedule(MU),312.8,-285.6,113.3,-141.3,0.9,,30.06.20
8,Actual(MU),292.4,-283.5,123.1,-145,1.8,,30.06.20
9,O/D/U/D(MU),-20.4,2.1,9.8,-3.6,0.9,,30.06.20
10,Central,5543,13634,10982,3320,1025,,30.06.20
11,State,6859,24683,12723,4842,11,,30.06.20
12,Coal,514,1038,387,458,5,,30.06.20
13,Lignite,27,15,38,0,0,,30.06.20
14,Hydro,354,59,82,143,31,,30.06.20
15,Nuclear,30,36,47,0,0,,30.06.20
0,Demand Met during Evening Peak hrs(MW),67614,49426,43711,21891,2664,,30.06.21
1,Peak Shortage (MW),2995,0,0,0,4,,30.06.21
2,Energy Met (MU),1590,1178,1078,488,50,,30.06.21
3,Hydro Gen (MU),347,46,112,133,22,,30.06.21
4,Wind Gen (MU),63,158,81,-,-,,30.06.21
5,Solar Gen (MU),54.4,37.57,109.41,4.28,0.08,,30.06.21
6,Energy Shortage (MU),30.38,0,0,0,0.04,,30.06.21
7,Schedule(MU),358.5,-297.7,96.4,-155.6,-1.5,,30.06.21
8,Actual(MU),343.9,-286.1,97.4,-159.3,-2.5,,30.06.21
9,O/D/U/D(MU),-14.5,11.6,1,-3.7,-0.9,,30.06.21
10,Central,4863,18458,7412,1120,738,,30.06.21
11,State,7580,16929,6935,3633,32,,30.06.21
12,Coal,688,1155,556,548,13,,30.06.21
13,Lignite,29,8,54,0,0,,30.06.21
14,Hydro,347,46,112,133,22,,30.06.21
15,Nuclear,30,32,44,0,0,,30.06.21
0,Demand Met during Evening Peak hrs(MW),55439,54158,42381,25452,2929,,30.06.22
1,Peak Shortage (MW),0,0,0,118,88,,30.06.22
2,Energy Met (MU),1359,1273,1027,522,54,,30.06.22
3,Hydro Gen (MU),334,25,47,120,35,,30.06.22
4,Wind Gen (MU),67,156,199,-,-,,30.06.22
5,Solar Gen (MU),100.68,34.85,95.22,5.25,0.46,,30.06.22
6,Energy Shortage (MU),0.6,0,0,1.75,0.79,,30.06.22
7,Schedule(MU),249.3,-160.4,25.1,-103.7,-10.3,,30.06.22
8,Actual(MU),183.6,-121.9,44,-98.6,-10.5,,30.06.22
9,O/D/U/D(MU),-65.7,38.5,19,5.1,-0.1,,30.06.22
10,Central,3882,12286,5698,2305,822,,30.06.22
11,State,8180,14936,8060,2542,276,,30.06.22
12,Coal,644,1152,498,526,13,,30.06.22
13,Lignite,29,14,65,0,0,,30.06.22
14,Hydro,336,25,47,120,35,,30.06.22
15,Nuclear,29,33,67,0,0,,30.06.22
0,Demand Met during Evening Peak hrs(MW),65241,51919,47057,24794,3031,,30.06.23
1,Peak Shortage (MW),0,0,0,0,13,,30.06.23
2,Energy Met (MU),1441,1198,1112,500,60,,30.06.23
3,Hydro Gen (MU),396,38,38,130,23,,30.06.23
4,Wind Gen (MU),29,176,214,-,-,,30.06.23
5,Solar Gen (MU),126.42,37.22,115.61,2.45,0.89,,30.06.23
6,Energy Shortage (MU),0.11,0,0,0.34,1.16,,30.06.23
7,Schedule(MU),306.5,-216.3,56.1,-153.3,7,,30.06.23
8,Actual(MU),257.9,-201.9,82.7,-152,9.2,,30.06.23
9,O/D/U/D(MU),-48.7,14.3,26.6,1.3,2.3,,30.06.23
10,Central,4689,14176,5868,1985,818,,30.06.23
11,State,8445,16443,5220,2040,261,,30.06.23
12,Coal,630,1186,601,564,12,,30.06.23
13,Lignite,26,12,55,0,0,,30.06.23
14,Hydro,396,38,38,130,23,,30.06.23
15,Nuclear,29,47,50,0,0,,30.06.23
0,Demand Met during Evening Peak hrs(MW),46955,42065,40183,19121,2623,150947,30.07.18
1,Peak Shortage (MW),887,197,0,0,71,1155,30.07.18
2,Energy Met (MU),1060,977,937,413,49,3437,30.07.18
3,Hydro Gen (MU),323,21,106,103,25,578,30.07.18
4,Wind Gen (MU),34,128,195,----------,----------,357,30.07.18
5,Solar Gen (MU),17.95,15.04,46.55,0.45,0.02,80,30.07.18
6,Energy Shortage (MU),10.3,0.6,0,0,1,11.8,30.07.18
7,Schedule(MU),260.4,-234.4,52.7,-77.8,-1.8,-0.8,30.07.18
8,Actual(MU),246.9,-229.5,53.8,-63.8,-3,4.4,30.07.18
9,O/D/U/D(MU),-13.5,4.9,1.1,14,-1.2,5.2,30.07.18
10,Central,5087,16860,7972,1460,429,31808,30.07.18
11,State,14050,18934,8950,5735,50,47719,30.07.18
12,Thermal (Coal & Lignite),402,963,431,398,6,2200,30.07.18
13,Hydro,323,26,108,103,25,584,30.07.18
14,Nuclear,27,30,61,0,0,118,30.07.18
15,"Gas, Naptha & Diesel",9,38,24,0,25,96,30.07.18
0,Demand Met during Evening Peak hrs(MW),55248,43636,39844,19582,2729,161039,30.07.19
1,Peak Shortage (MW),1935,0,0,0,191,2126,30.07.19
2,Energy Met (MU),1217,994,869,412,51,3544,30.07.19
3,Hydro Gen (MU),336,21,46,115,26,543,30.07.19
4,Wind Gen (MU),13,158,182,----------,----------,352,30.07.19
5,Solar Gen (MU),24.72,8.92,45.44,1.99,0.04,81,30.07.19
6,Energy Shortage (MU),10.1,0,0,0,1.6,11.7,30.07.19
7,Schedule(MU),294.4,-268,32.1,-47.9,-10.8,-0.1,30.07.19
8,Actual(MU),276.7,-285.4,53,-38,-10.3,-4,30.07.19
9,O/D/U/D(MU),-17.7,-17.5,20.9,9.9,0.5,-3.9,30.07.19
10,Central,5116,17905,8302,2950,82,34354,30.07.19
11,State,11355,16955,9570,4400,50,42330,30.07.19
12,Coal,466,1011,388,345,11,2222,30.07.19
13,Lignite,17,13,40,0,0,71,30.07.19
14,Hydro,336,21,46,115,26,543,30.07.19
15,Nuclear,27,31,60,0,0,118,30.07.19
0,Demand Met during Evening Peak hrs(MW),58369,45148,36164,21427,2679,,30.07.20
1,Peak Shortage (MW),498,0,0,0,8,,30.07.20
2,Energy Met (MU),1390,1072,860,436,51,,30.07.20
3,Hydro Gen (MU),348,23,87,139,31,,30.07.20
4,Wind Gen (MU),45,57,93,-,-,,30.07.20
5,Solar Gen (MU),38.6,19.1,60.39,4.38,0.02,,30.07.20
6,Energy Shortage (MU),10.2,0,0,0,0,,30.07.20
7,Schedule(MU),327.6,-303.1,120,-139.4,-5.1,,30.07.20
8,Actual(MU),324.3,-297,119.1,-148.6,-5.4,,30.07.20
9,O/D/U/D(MU),-3.3,6.2,-0.8,-9.2,-0.4,,30.07.20
10,Central,5012,13877,11122,1545,707,,30.07.20
11,State,8074,19771,14380,5362,47,,30.07.20
12,Coal,559,1145,412,481,7,,30.07.20
13,Lignite,17,16,18,0,0,,30.07.20
14,Hydro,348,23,87,139,31,,30.07.20
15,Nuclear,26,33,24,0,0,,30.07.20
0,Demand Met during Evening Peak hrs(MW),54113,45877,40842,20600,2888,,30.07.21
1,Peak Shortage (MW),200,0,0,0,0,,30.07.21
2,Energy Met (MU),1169,1063,1022,419,56,,30.07.21
3,Hydro Gen (MU),365,23,164,126,27,,30.07.21
4,Wind Gen (MU),35,253,226,-,-,,30.07.21
5,Solar Gen (MU),43,16.22,91.97,3.91,0.13,,30.07.21
6,Energy Shortage (MU),3.51,0,0,0,0.04,,30.07.21
7,Schedule(MU),301.1,-236.8,33.4,-94.4,-3.2,,30.07.21
8,Actual(MU),272.3,-226,43,-89.8,-4.3,,30.07.21
9,O/D/U/D(MU),-28.8,10.9,9.7,4.6,-1.1,,30.07.21
10,Central,8402,18923,10052,1155,689,,30.07.21
11,State,12975,23485,11208,5455,47,,30.07.21
12,Coal,398,928,399,405,9,,30.07.21
13,Lignite,25,12,34,0,0,,30.07.21
14,Hydro,365,23,164,126,27,,30.07.21
15,Nuclear,26,33,42,0,0,,30.07.21
0,Demand Met during Evening Peak hrs(MW),57482,53043,42086,25144,3153,,30.07.22
1,Peak Shortage (MW),35,0,0,945,0,,30.07.22
2,Energy Met (MU),1294,1210,992,568,62,,30.07.22
3,Hydro Gen (MU),354,107,126,135,33,,30.07.22
4,Wind Gen (MU),46,108,30,-,-,,30.07.22
5,Solar Gen (MU),90.41,41.45,103.44,4.66,0.49,,30.07.22
6,Energy Shortage (MU),0.07,0.12,0,4.56,0,,30.07.22
7,Schedule(MU),136.7,-114.5,111.5,-123,-10.8,,30.07.22
8,Actual(MU),101.3,-108.1,121.6,-112.2,-10.3,,30.07.22
9,O/D/U/D(MU),-35.5,6.4,10.1,10.7,0.5,,30.07.22
10,Central,3602,15666,7138,1565,309,,30.07.22
11,State,7320,18529,8492,2213,120,,30.07.22
12,Coal,688,1036,484,569,15,,30.07.22
13,Lignite,26,11,62,0,0,,30.07.22
14,Hydro,356,107,126,135,33,,30.07.22
15,Nuclear,29,33,47,0,0,,30.07.22
0,Demand Met during Evening Peak hrs(MW),68237,52176,43816,27529,3161,,30.07.23
1,Peak Shortage (MW),0,0,0,132,19,,30.07.23
2,Energy Met (MU),1459,1200,1012,607,65,,30.07.23
3,Hydro Gen (MU),444,69,73,137,34,,30.07.23
4,Wind Gen (MU),29,209,229,-,-,,30.07.23
5,Solar Gen (MU),120.32,43.88,111.13,1.94,1.17,,30.07.23
6,Energy Shortage (MU),0.08,0,0,0.31,0.49,,30.07.23
7,Schedule(MU),266.5,-244.2,25.5,-39.6,-8.1,,30.07.23
8,Actual(MU),252,-243.9,27.4,-35,-6.6,,30.07.23
9,O/D/U/D(MU),-14.5,0.3,1.9,4.6,1.5,,30.07.23
10,Central,5899,12031,6648,2885,271,,30.07.23
11,State,7915,17843,9213,2740,180,,30.07.23
12,Coal,623,1156,484,566,13,,30.07.23
13,Lignite,22,7,56,0,0,,30.07.23
14,Hydro,444,69,73,137,34,,30.07.23
15,Nuclear,29,50,64,0,0,,30.07.23
0,Demand Met during Evening Peak hrs(MW),53442,44311,40974,21634,2655,163016,30.08.18
1,Peak Shortage (MW),1048,133,20,270,192,1663,30.08.18
2,Energy Met (MU),1194,988,925,458,51,3617,30.08.18
3,Hydro Gen (MU),347,35,187,120,25,713,30.08.18
4,Wind Gen (MU),18,55,146,----------,----------,220,30.08.18
5,Solar Gen (MU),12.96,10.5,50.99,0.65,0.02,75,30.08.18
6,Energy Shortage (MU),10.1,0.5,0.1,0.8,1.6,13.1,30.08.18
7,Schedule(MU),261.5,-251.9,24.7,-39.9,5.6,0,30.08.18
8,Actual(MU),257.6,-252,15.8,-25,5.1,1.6,30.08.18
9,O/D/U/D(MU),-3.8,-0.1,-8.9,14.9,-0.5,1.6,30.08.18
10,Central,4711,14435,10762,2130,470,32509,30.08.18
11,State,9355,17759,10123,6615,50,43902,30.08.18
12,Thermal (Coal & Lignite),533,1104,444,387,8,2477,30.08.18
13,Hydro,347,36,187,120,25,714,30.08.18
14,Nuclear,27,27,24,0,0,78,30.08.18
15,"Gas, Naptha & Diesel",21,39,22,0,17,98,30.08.18
0,Demand Met during Evening Peak hrs(MW),60142,46942,41733,22371,2944,174132,30.08.19
1,Peak Shortage (MW),1389,0,0,250,128,1767,30.08.19
2,Energy Met (MU),1385,1077,1013,471,57,4004,30.08.19
3,Hydro Gen (MU),371,113,107,141,19,751,30.08.19
4,Wind Gen (MU),7,36,141,----------,----------,184,30.08.19
5,Solar Gen (MU),21.33,17.9,77.93,2.08,0.05,119,30.08.19
6,Energy Shortage (MU),14.4,0.1,0,0.8,1.4,16.7,30.08.19
7,Schedule(MU),261,-281.5,41.3,-30.7,9.9,0,30.08.19
8,Actual(MU),249.8,-276.7,47.4,-34.8,12.2,-2.2,30.08.19
9,O/D/U/D(MU),-11.3,4.9,6.1,-4.1,2.2,-2.2,30.08.19
10,Central,3933,15887,8182,3070,766,31839,30.08.19
11,State,4895,17757,9350,6570,50,38621,30.08.19
12,Coal,650,1090,485,385,11,2621,30.08.19
13,Lignite,19,8,45,0,0,73,30.08.19
14,Hydro,371,113,107,141,19,751,30.08.19
15,Nuclear,27,31,55,0,0,114,30.08.19
0,Demand Met during Evening Peak hrs(MW),56925,40246,38744,22103,2734,,30.08.20
1,Peak Shortage (MW),67,0,0,0,11,,30.08.20
2,Energy Met (MU),1225,925,939,461,53,,30.08.20
3,Hydro Gen (MU),343,92,110,147,21,,30.08.20
4,Wind Gen (MU),6,96,124,-,-,,30.08.20
5,Solar Gen (MU),18.36,15.18,98.25,4.64,0.09,,30.08.20
6,Energy Shortage (MU),0.3,0,0,0,0.1,,30.08.20
7,Schedule(MU),309.3,-286.5,81.8,-108.6,4.1,,30.08.20
8,Actual(MU),311,-300.8,83.4,-104.4,6,,30.08.20
9,O/D/U/D(MU),1.7,-14.3,1.6,4.2,1.9,,30.08.20
10,Central,6009,19878,9512,2155,640,,30.08.20
11,State,11779,26606,13212,6032,11,,30.08.20
12,Coal,472,950,401,445,7,,30.08.20
13,Lignite,23,8,23,0,0,,30.08.20
14,Hydro,343,92,110,147,21,,30.08.20
15,Nuclear,27,33,68,0,0,,30.08.20
0,Demand Met during Evening Peak hrs(MW),60630,49769,39753,22070,2818,,30.08.21
1,Peak Shortage (MW),275,0,0,0,3,,30.08.21
2,Energy Met (MU),1426,1210,868,470,54,,30.08.21
3,Hydro Gen (MU),331,40,100,148,31,,30.08.21
4,Wind Gen (MU),8,50,181,-,-,,30.08.21
5,Solar Gen (MU),39.17,26.64,61.48,4.48,0.2,,30.08.21
6,Energy Shortage (MU),4.2,1.7,0.21,4.3,0,,30.08.21
7,Schedule(MU),344.7,-109.1,-88,-141.2,-6.3,,30.08.21
8,Actual(MU),343.9,-80.5,-107.6,-153,-9.4,,30.08.21
9,O/D/U/D(MU),-0.8,28.6,-19.6,-11.7,-3,,30.08.21
10,Central,5063,18018,8672,2110,809,,30.08.21
11,State,8745,19516,7785,4175,11,,30.08.21
12,Coal,622,1102,518,502,9,,30.08.21
13,Lignite,21,13,39,0,0,,30.08.21
14,Hydro,331,40,100,148,31,,30.08.21
15,Nuclear,26,20,39,0,0,,30.08.21
0,Demand Met during Evening Peak hrs(MW),64890,54673,41631,25374,3263,,30.08.22
1,Peak Shortage (MW),3268,0,0,1932,0,,30.08.22
2,Energy Met (MU),1587,1291,951,569,63,,30.08.22
3,Hydro Gen (MU),377,128,186,152,34,,30.08.22
4,Wind Gen (MU),6,13,15,-,-,,30.08.22
5,Solar Gen (MU),105.39,45.24,96.83,4.98,0.61,,30.08.22
6,Energy Shortage (MU),18.19,0,0,19.08,0,,30.08.22
7,Schedule(MU),311.7,-143.8,-25.7,-135.5,-6.6,,30.08.22
8,Actual(MU),298.6,-137.9,-25.6,-132.3,-7.9,,30.08.22
9,O/D/U/D(MU),-13.1,5.9,0.2,3.3,-1.3,,30.08.22
10,Central,2762,12381,5258,1870,309,,30.08.22
11,State,8435,17123,8432,4540,162,,30.08.22
12,Coal,781,1218,568,578,18,,30.08.22
13,Lignite,34,7,53,0,0,,30.08.22
14,Hydro,380,128,186,152,34,,30.08.22
15,Nuclear,33,40,43,0,0,,30.08.22
0,Demand Met during Evening Peak hrs(MW),71295,59337,45817,26601,3002,,30.08.23
1,Peak Shortage (MW),170,30,2098,1151,559,,30.08.23
2,Energy Met (MU),1668,1497,1234,609,65,,30.08.23
3,Hydro Gen (MU),366,110,120,139,40,,30.08.23
4,Wind Gen (MU),16,71,60,-,-,,30.08.23
5,Solar Gen (MU),138.01,58.3,115.37,5.9,1.51,,30.08.23
6,Energy Shortage (MU),7.9,18.4,12.8,17.29,3.83,,30.08.23
7,Schedule(MU),260.4,-282.3,160.2,-124.6,-13.7,,30.08.23
8,Actual(MU),221.8,-284,190.9,-117.6,-11.5,,30.08.23
9,O/D/U/D(MU),-38.6,-1.7,30.7,7,2.2,,30.08.23
10,Central,2177,9979,5758,2100,315,,30.08.23
11,State,4645,11973,6338,3500,254,,30.08.23
12,Coal,914,1519,691,651,15,,30.08.23
13,Lignite,24,13,39,0,0,,30.08.23
14,Hydro,366,110,120,139,40,,30.08.23
15,Nuclear,26,53,51,0,0,,30.08.23
0,Demand Met during Evening Peak hrs(MW),48516,51610,42175,21274,2617,166192,30.09.18
1,Peak Shortage (MW),920,233,0,700,155,2008,30.09.18
2,Energy Met (MU),1042,1216,938,483,51,3730,30.09.18
3,Hydro Gen (MU),264,46,93,110,24,537,30.09.18
4,Wind Gen (MU),8,15,17,----------,----------,40,30.09.18
5,Solar Gen (MU),17.29,20.8,55.62,0.96,0.02,95,30.09.18
6,Energy Shortage (MU),10.4,2.3,0,-2.1,1.1,11.7,30.09.18
7,Schedule(MU),92,-158.1,77.3,-10.4,-1.4,-0.6,30.09.18
8,Actual(MU),67.6,-158.1,77.6,7.6,2.3,-3,30.09.18
9,O/D/U/D(MU),-24.4,0,0.3,18,3.7,-2.4,30.09.18
