,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
0,Demand Met during Evening Peak hrs(MW),57028,61233,47714,19404,3001,,26.05.23,188380
1,Peak Shortage (MW),135,0,0,0,36,,26.05.23,171
2,Energy Met (MU),1148,1448,1165,484,49,,26.05.23,4294
3,Hydro Gen (MU),263,50,61,78,12,,26.05.23,464
4,Wind Gen (MU),56,246,152,-,-,,26.05.23,454
5,Solar Gen (MU),129.76,64.03,127.63,5.50,1.04,,26.05.23,328
6,Energy Shortage (MU),0.39,0.00,0.00,0.53,1.00,,26.05.23,1.92
7,Schedule(MU),151.2,-231.5,148.0,-71.2,3.6,,26.05.23,0.0
8,Actual(MU),110.4,-211.0,175.0,-83.2,4.2,,26.05.23,-4.6
9,O/D/U/D(MU),-40.8,20.5,27.0,-11.9,0.6,,26.05.23,-4.6
10,Central,7059,7926,7248,2230,480,,26.05.23,24942
11,State,8695,13883,5703,2130,241,,26.05.23,30651
12,Coal,589,1343,614,561,11,,26.05.23,3118
13,Lignite,20,19,38,0,0,,26.05.23,77
14,Hydro,263,50,61,78,12,,26.05.23,464
15,Nuclear,30,38,46,0,0,,26.05.23,114
0,Demand Met during Evening Peak hrs(MW),69690,56364,41894,27838,3351,,26.07.23,199137
1,Peak Shortage (MW),60,0,0,137,30,,26.07.23,227
2,Energy Met (MU),1532,1296,931,636,67,,26.07.23,4463
3,Hydro Gen (MU),408,63,88,139,32,,26.07.23,730
4,Wind Gen (MU),6,116,251,-,-,,26.07.23,373
5,Solar Gen (MU),94.58,47.96,55.48,1.92,0.90,,26.07.23,201
6,Energy Shortage (MU),0.69,0.00,0.00,0.46,0.30,,26.07.23,1.45
7,Schedule(MU),336.6,-226.6,-51.7,-54.9,-3.4,,26.07.23,0.0
8,Actual(MU),310.9,-210.5,-51.9,-53.0,-1.0,,26.07.23,-5.5
9,O/D/U/D(MU),-25.7,16.1,-0.3,1.9,2.4,,26.07.23,-5.5
10,Central,2966,11806,5938,3360,271,,26.07.23,24341
11,State,7890,14198,8753,2390,171,,26.07.23,33402
12,Coal,695,1317,514,614,13,,26.07.23,3153
13,Lignite,28,10,53,0,0,,26.07.23,91
14,Hydro,408,63,88,139,32,,26.07.23,730
15,Nuclear,29,52,63,0,0,,26.07.23,144
0,Demand Met during Evening Peak hrs(MW),71736,60750,48860,25256,2969,,26.08.23,209571
1,Peak Shortage (MW),1045,0,300,274,210,,26.08.23,1829
2,Energy Met (MU),1601,1486,1261,531,59,,26.08.23,4939
3,Hydro Gen (MU),378,104,90,142,37,,26.08.23,751
4,Wind Gen (MU),46,172,118,-,-,,26.08.23,336
5,Solar Gen (MU),122.61,52.84,113.14,2.42,0.46,,26.08.23,291
6,Energy Shortage (MU),4.83,0.00,0.92,2.10,1.91,,26.08.23,9.76
7,Schedule(MU),270.7,-276.7,195.9,-172.3,-17.7,,26.08.23,0.0
8,Actual(MU),250.5,-287.3,223.7,-177.3,-15.6,,26.08.23,-6.0
9,O/D/U/D(MU),-20.2,-10.7,27.7,-4.9,2.1,,26.08.23,-6.0
10,Central,2737,10410,6008,1900,305,,26.08.23,21359
11,State,4125,13879,5158,3850,129,,26.08.23,27141
12,Coal,803,1437,666,630,16,,26.08.23,3552
13,Lignite,24,13,43,0,0,,26.08.23,80
14,Hydro,378,104,90,142,37,,26.08.23,751
15,Nuclear,24,52,45,0,0,,26.08.23,122
0,Demand Met during Evening Peak hrs(MW),68930,57036,45757,25923,3132,,26.09.23,200778
1,Peak Shortage (MW),89,0,0,168,370,,26.09.23,627
2,Energy Met (MU),1483,1300,1112,558,65,,26.09.23,4518
3,Hydro Gen (MU),253,113,74,123,28,,26.09.23,591
4,Wind Gen (MU),8,22,121,-,-,,26.09.23,150
5,Solar Gen (MU),123.35,52.56,108.34,2.55,1.14,,26.09.23,288
6,Energy Shortage (MU),1.53,0.00,0.00,1.13,1.54,,26.09.23,4.20
7,Schedule(MU),312.7,-250.6,95.9,-158.8,0.8,,26.09.23,0.0
8,Actual(MU),305.1,-254.7,108.8,-167.1,3.1,,26.09.23,-4.8
9,O/D/U/D(MU),-7.6,-4.0,12.8,-8.3,2.3,,26.09.23,-4.8
10,Central,4139,12184,5118,660,505,,26.09.23,22605
11,State,4521,10925,6492,3300,219,,26.09.23,25457
12,Coal,798,1377,623,664,15,,26.09.23,3477
13,Lignite,31,16,41,0,0,,26.09.23,88
14,Hydro,253,113,74,123,28,,26.09.23,591
15,Nuclear,24,53,76,0,0,,26.09.23,154
0,Demand Met during Evening Peak hrs(MW),52760,63577,49306,22438,2820,,26.10.23,190901
1,Peak Shortage (MW),45,0,0,507,25,,26.10.23,577
2,Energy Met (MU),1151,1529,1232,484,52,,26.10.23,4449
3,Hydro Gen (MU),156,44,62,45,21,,26.10.23,327
4,Wind Gen (MU),4,33,41,-,-,,26.10.23,78
5,Solar Gen (MU),125.61,64.20,124.72,2.92,1.11,,26.10.23,319
6,Energy Shortage (MU),0.65,0.00,0.00,2.04,0.05,,26.10.23,2.74
7,Schedule(MU),155.9,-168.7,174.4,-158.0,-3.7,,26.10.23,0.0
8,Actual(MU),144.3,-137.7,185.0,-190.3,-6.7,,26.10.23,-5.5
9,O/D/U/D(MU),-11.7,30.9,10.6,-32.3,-3.0,,26.10.23,-5.5
10,Central,7088,7966,4218,4486,205,,26.10.23,23962
11,State,5056,10561,3816,720,121,,26.10.23,20273
12,Coal,735,1584,738,690,16,,26.10.23,3763
13,Lignite,28,16,56,0,0,,26.10.23,99
14,Hydro,156,44,62,45,21,,26.10.23,327
15,Nuclear,15,53,71,0,0,,26.10.23,139
0,Demand Met during Evening Peak hrs(MW),52217,58439,49111,23678,2867,,27.04.23,186312
1,Peak Shortage (MW),80,0,0,0,18,,27.04.23,98
2,Energy Met (MU),1212,1392,1175,529,53,,27.04.23,4361
3,Hydro Gen (MU),179,27,76,37,8,,27.04.23,327
4,Wind Gen (MU),15,70,32,-,-,,27.04.23,116
5,Solar Gen (MU),100.29,63.97,109.48,2.53,1.16,,27.04.23,277
6,Energy Shortage (MU),0.24,0.00,0.00,1.11,1.52,,27.04.23,2.87
7,Schedule(MU),159.3,-235.4,185.3,-114.2,4.9,,27.04.23,0.0
8,Actual(MU),152.9,-218.4,186.8,-130.6,6.0,,27.04.23,-3.3
9,O/D/U/D(MU),-6.4,17.0,1.4,-16.4,1.1,,27.04.23,-3.3
10,Central,4537,7881,2788,1390,446,,27.04.23,17042
11,State,4735,10735,5256,1290,314,,27.04.23,22330
12,Coal,765,1491,708,704,16,,27.04.23,3683
13,Lignite,26,21,58,0,0,,27.04.23,104
14,Hydro,179,27,76,37,8,,27.04.23,327
15,Nuclear,29,37,48,0,0,,27.04.23,113
0,Demand Met during Evening Peak hrs(MW),54919,59394,49193,24141,2726,,27.05.23,190373
1,Peak Shortage (MW),193,0,0,471,15,,27.05.23,679
2,Energy Met (MU),1139,1442,1175,490,50,,27.05.23,4296
3,Hydro Gen (MU),252,49,75,76,18,,27.05.23,470
4,Wind Gen (MU),42,230,99,-,-,,27.05.23,371
5,Solar Gen (MU),117.73,65.94,129.55,3.53,0.94,,27.05.23,318
6,Energy Shortage (MU),2.07,0.00,0.00,3.19,1.24,,27.05.23,6.50
7,Schedule(MU),168.2,-245.8,161.9,-81.5,-2.8,,27.05.23,0.0
8,Actual(MU),133.1,-234.1,201.5,-101.9,-2.9,,27.05.23,-4.2
9,O/D/U/D(MU),-35.1,11.7,39.7,-20.4,-0.1,,27.05.23,-4.2
10,Central,6879,9546,7038,2890,455,,27.05.23,26807
11,State,10080,14300,6353,1920,241,,27.05.23,32893
12,Coal,584,1354,632,582,13,,27.05.23,3166
13,Lignite,24,17,40,0,0,,27.05.23,81
14,Hydro,252,49,75,76,18,,27.05.23,470
15,Nuclear,30,38,46,0,0,,27.05.23,113
0,Demand Met during Evening Peak hrs(MW),66828,52258,45836,22798,3046,,27.06.23,190766
1,Peak Shortage (MW),10,0,0,293,15,,27.06.23,318
2,Energy Met (MU),1497,1239,1089,517,61,,27.06.23,4403
3,Hydro Gen (MU),396,37,36,104,25,,27.06.23,598
4,Wind Gen (MU),15,108,204,-,-,,27.06.23,326
5,Solar Gen (MU),120.87,33.38,105.52,4.15,0.98,,27.06.23,265
6,Energy Shortage (MU),0.07,0.00,0.00,0.74,1.06,,27.06.23,1.87
7,Schedule(MU),312.4,-222.1,47.0,-140.8,3.4,,27.06.23,0.0
8,Actual(MU),281.4,-211.7,73.0,-152.0,5.5,,27.06.23,-3.7
9,O/D/U/D(MU),-31.0,10.4,25.9,-11.2,2.1,,27.06.23,-3.7
10,Central,3300,11111,5218,800,818,,27.06.23,21247
11,State,7935,14600,5848,2660,241,,27.06.23,31284
12,Coal,687,1327,612,621,13,,27.06.23,3259
13,Lignite,29,11,57,0,0,,27.06.23,97
14,Hydro,396,37,36,104,25,,27.06.23,598
15,Nuclear,29,47,48,0,0,,27.06.23,125
0,Demand Met during Evening Peak hrs(MW),70749,55095,42298,27968,3358,,27.07.23,199468
1,Peak Shortage (MW),300,0,0,114,29,,27.07.23,443
2,Energy Met (MU),1561,1287,911,633,67,,27.07.23,4459
3,Hydro Gen (MU),416,71,89,141,32,,27.07.23,748
4,Wind Gen (MU),9,184,255,-,-,,27.07.23,449
5,Solar Gen (MU),65.67,38.15,75.76,1.87,0.97,,27.07.23,182
6,Energy Shortage (MU),1.71,0.00,0.00,0.79,0.55,,27.07.23,3.05
7,Schedule(MU),351.0,-230.4,-67.7,-50.6,-2.4,,27.07.23,0.0
8,Actual(MU),337.9,-234.3,-72.0,-37.9,0.2,,27.07.23,-6.2
9,O/D/U/D(MU),-13.2,-3.9,-4.4,12.7,2.5,,27.07.23,-6.2
10,Central,2750,11055,6138,3020,271,,27.07.23,23234
11,State,5910,15593,9503,2080,171,,27.07.23,33257
12,Coal,723,1268,473,599,12,,27.07.23,3074
13,Lignite,27,7,52,0,0,,27.07.23,87
14,Hydro,416,71,89,141,32,,27.07.23,748
15,Nuclear,29,52,64,0,0,,27.07.23,145
0,Demand Met during Evening Peak hrs(MW),72643,58527,45434,26691,2834,,27.08.23,206129
1,Peak Shortage (MW),200,43,0,176,0,,27.08.23,419
2,Energy Met (MU),1617,1435,1196,568,56,,27.08.23,4873
3,Hydro Gen (MU),375,99,68,134,41,,27.08.23,717
4,Wind Gen (MU),54,188,134,-,-,,27.08.23,376
5,Solar Gen (MU),125.65,56.45,123.68,2.27,0.53,,27.08.23,309
6,Energy Shortage (MU),2.47,0.41,0.00,0.78,0.08,,27.08.23,3.74
7,Schedule(MU),282.6,-271.5,159.1,-151.0,-19.2,,27.08.23,0.0
8,Actual(MU),255.2,-276.7,184.1,-149.6,-19.2,,27.08.23,-6.2
9,O/D/U/D(MU),-27.4,-5.1,25.0,1.3,0.1,,27.08.23,-6.2
10,Central,2897,10242,5658,1760,305,,27.08.23,20861
11,State,3990,13477,6498,4450,139,,27.08.23,28553
12,Coal,808,1445,625,643,14,,27.08.23,3534
13,Lignite,25,13,41,0,0,,27.08.23,79
14,Hydro,375,99,68,134,41,,27.08.23,717
15,Nuclear,24,53,46,0,0,,27.08.23,123
0,Demand Met during Evening Peak hrs(MW),67369,57007,45315,26497,3170,,27.09.23,199358
1,Peak Shortage (MW),50,0,100,547,463,,27.09.23,1160
2,Energy Met (MU),1495,1312,1127,584,68,,27.09.23,4586
3,Hydro Gen (MU),243,113,78,118,29,,27.09.23,581
4,Wind Gen (MU),4,27,139,-,-,,27.09.23,170
5,Solar Gen (MU),118.15,54.25,103.03,2.54,1.20,,27.09.23,279
6,Energy Shortage (MU),2.42,0.00,0.40,3.61,1.91,,27.09.23,8.34
7,Schedule(MU),315.4,-264.3,86.1,-138.9,1.7,,27.09.23,0.0
8,Actual(MU),310.4,-278.4,99.4,-139.4,3.2,,27.09.23,-4.8
9,O/D/U/D(MU),-5.0,-14.1,13.3,-0.6,1.6,,27.09.23,-4.8
10,Central,4219,11984,5168,1920,505,,27.09.23,23795
11,State,3991,10648,6102,3510,219,,27.09.23,24470
12,Coal,828,1407,633,670,16,,27.09.23,3553
13,Lignite,34,17,39,0,0,,27.09.23,90
14,Hydro,243,113,78,118,29,,27.09.23,581
15,Nuclear,25,54,76,0,0,,27.09.23,154
0,Demand Met during Evening Peak hrs(MW),52438,62108,48888,21974,2838,,27.10.23,188246
1,Peak Shortage (MW),150,0,0,490,25,,27.10.23,665
2,Energy Met (MU),1152,1520,1240,474,53,,27.10.23,4439
3,Hydro Gen (MU),150,37,64,42,20,,27.10.23,313
4,Wind Gen (MU),10,32,41,-,-,,27.10.23,83
5,Solar Gen (MU),121.72,66.37,123.63,3.27,1.18,,27.10.23,316
6,Energy Shortage (MU),1.16,0.00,0.00,3.32,0.15,,27.10.23,4.63
7,Schedule(MU),170.7,-167.8,162.9,-162.3,-3.5,,27.10.23,0.0
8,Actual(MU),160.7,-151.3,176.6,-187.1,-5.3,,27.10.23,-6.5
9,O/D/U/D(MU),-10.0,16.5,13.7,-24.8,-1.8,,27.10.23,-6.5
10,Central,7088,8569,4128,4811,205,,27.10.23,24800
11,State,6386,9861,2406,720,121,,27.10.23,19493
12,Coal,721,1590,754,676,16,,27.10.23,3757
13,Lignite,27,13,58,0,0,,27.10.23,99
14,Hydro,150,37,64,42,20,,27.10.23,313
15,Nuclear,15,53,71,0,0,,27.10.23,139
0,Demand Met during Evening Peak hrs(MW),56453,54537,48761,24959,2932,,28.04.23,187642
1,Peak Shortage (MW),130,0,0,360,57,,28.04.23,547
2,Energy Met (MU),1220,1357,1188,525,52,,28.04.23,4343
3,Hydro Gen (MU),189,22,72,40,9,,28.04.23,332
4,Wind Gen (MU),19,57,30,-,-,,28.04.23,106
5,Solar Gen (MU),103.44,54.02,107.99,2.64,1.11,,28.04.23,269
6,Energy Shortage (MU),0.53,0.00,0.00,1.49,1.42,,28.04.23,3.44
7,Schedule(MU),142.3,-217.7,200.5,-126.9,1.9,,28.04.23,0.0
8,Actual(MU),124.7,-198.9,208.6,-142.2,3.8,,28.04.23,-4.0
9,O/D/U/D(MU),-17.6,18.9,8.2,-15.3,1.9,,28.04.23,-4.0
10,Central,3877,7881,3748,1370,425,,28.04.23,17301
11,State,5285,11285,4636,1600,264,,28.04.23,23069
12,Coal,773,1469,685,701,15,,28.04.23,3642
13,Lignite,29,23,61,0,0,,28.04.23,113
14,Hydro,189,22,72,40,9,,28.04.23,332
15,Nuclear,29,37,61,0,0,,28.04.23,127
0,Demand Met during Evening Peak hrs(MW),52883,55179,43809,23834,2961,,28.05.23,178666
1,Peak Shortage (MW),0,0,0,412,43,,28.05.23,455
2,Energy Met (MU),1152,1379,1115,519,53,,28.05.23,4218
3,Hydro Gen (MU),237,41,76,65,14,,28.05.23,433
4,Wind Gen (MU),32,178,74,-,-,,28.05.23,283
5,Solar Gen (MU),84.52,61.56,122.67,3.69,1.27,,28.05.23,274
6,Energy Shortage (MU),3.50,1.58,0.00,5.26,1.32,,28.05.23,11.66
7,Schedule(MU),191.7,-265.3,165.2,-92.8,1.2,,28.05.23,0.0
8,Actual(MU),173.8,-271.6,185.4,-93.3,1.2,,28.05.23,-4.4
9,O/D/U/D(MU),-17.9,-6.3,20.3,-0.5,0.0,,28.05.23,-4.4
10,Central,6949,9546,7078,2250,455,,28.05.23,26277
11,State,8395,13940,5816,1940,241,,28.05.23,30331
12,Coal,626,1384,626,626,15,,28.05.23,3277
13,Lignite,24,17,39,0,0,,28.05.23,79
14,Hydro,237,41,76,65,14,,28.05.23,433
15,Nuclear,30,38,46,0,0,,28.05.23,114
0,Demand Met during Evening Peak hrs(MW),67195,51963,46574,23674,3117,,28.06.23,192523
1,Peak Shortage (MW),35,0,0,0,15,,28.06.23,50
2,Energy Met (MU),1505,1226,1105,497,61,,28.06.23,4393
3,Hydro Gen (MU),399,35,40,101,23,,28.06.23,597
4,Wind Gen (MU),15,121,218,-,-,,28.06.23,354
5,Solar Gen (MU),121.71,35.66,105.67,1.81,0.93,,28.06.23,266
6,Energy Shortage (MU),0.40,0.00,0.00,0.02,0.89,,28.06.23,1.31
7,Schedule(MU),317.7,-222.3,50.0,-151.9,6.5,,28.06.23,0.0
8,Actual(MU),283.3,-210.2,69.6,-156.1,9.4,,28.06.23,-4.0
9,O/D/U/D(MU),-34.4,12.1,19.6,-4.2,2.9,,28.06.23,-4.0
10,Central,3269,11406,5068,1550,818,,28.06.23,22111
11,State,7945,14810,4438,2660,342,,28.06.23,30195
12,Coal,679,1343,613,622,12,,28.06.23,3269
13,Lignite,29,12,56,0,0,,28.06.23,98
14,Hydro,399,35,40,101,23,,28.06.23,597
15,Nuclear,29,47,46,0,0,,28.06.23,122
0,Demand Met during Evening Peak hrs(MW),65750,53638,44766,27902,3323,,28.07.23,195379
1,Peak Shortage (MW),200,0,0,124,17,,28.07.23,341
2,Energy Met (MU),1508,1258,980,639,66,,28.07.23,4451
3,Hydro Gen (MU),429,69,81,142,35,,28.07.23,755
4,Wind Gen (MU),32,227,238,-,-,,28.07.23,497
5,Solar Gen (MU),85.50,42.09,101.59,4.63,0.80,,28.07.23,235
6,Energy Shortage (MU),0.93,0.00,0.00,0.25,0.42,,28.07.23,1.60
7,Schedule(MU),315.7,-250.1,-17.2,-45.1,-3.3,,28.07.23,0.0
8,Actual(MU),274.7,-255.0,-4.9,-16.9,-1.3,,28.07.23,-3.4
9,O/D/U/D(MU),-41.0,-4.9,12.3,28.2,2.0,,28.07.23,-3.4
10,Central,3554,10306,5938,3020,271,,28.07.23,23089
11,State,6465,16203,9453,2080,171,,28.07.23,34372
12,Coal,686,1187,475,576,12,,28.07.23,2936
13,Lignite,23,5,50,0,0,,28.07.23,78
14,Hydro,429,69,81,142,35,,28.07.23,755
15,Nuclear,29,50,64,0,0,,28.07.23,143
0,Demand Met during Evening Peak hrs(MW),73922,62501,48681,27419,3069,,28.08.23,215592
1,Peak Shortage (MW),221,0,0,236,110,,28.08.23,567
2,Energy Met (MU),1627,1516,1246,604,57,,28.08.23,5050
3,Hydro Gen (MU),379,104,73,136,40,,28.08.23,732
4,Wind Gen (MU),70,219,158,-,-,,28.08.23,447
5,Solar Gen (MU),130.68,56.34,128.15,2.87,0.71,,28.08.23,319
6,Energy Shortage (MU),1.38,0.00,0.00,2.04,0.61,,28.08.23,4.03
7,Schedule(MU),263.7,-292.9,164.6,-118.5,-16.9,,28.08.23,0.0
8,Actual(MU),227.3,-292.1,185.9,-109.6,-15.9,,28.08.23,-4.3
9,O/D/U/D(MU),-36.4,0.8,21.3,8.9,1.0,,28.08.23,-4.3
10,Central,2428,9642,5758,1760,255,,28.08.23,19842
11,State,3625,13456,6908,4390,129,,28.08.23,28507
12,Coal,832,1438,642,641,10,,28.08.23,3564
13,Lignite,23,13,36,0,0,,28.08.23,71
14,Hydro,379,104,73,136,40,,28.08.23,732
15,Nuclear,24,53,46,0,0,,28.08.23,123
0,Demand Met during Evening Peak hrs(MW),67433,54199,45033,26744,3419,,28.09.23,196828
1,Peak Shortage (MW),232,0,0,420,223,,28.09.23,875
2,Energy Met (MU),1493,1287,1131,593,69,,28.09.23,4573
3,Hydro Gen (MU),237,95,72,115,27,,28.09.23,546
4,Wind Gen (MU),4,40,147,-,-,,28.09.23,191
5,Solar Gen (MU),129.18,54.47,109.25,2.29,1.29,,28.09.23,296
6,Energy Shortage (MU),4.37,0.00,0.00,5.09,2.09,,28.09.23,11.55
7,Schedule(MU),294.8,-265.1,86.7,-120.5,4.2,,28.09.23,0.0
8,Actual(MU),286.8,-270.0,97.3,-126.1,6.9,,28.09.23,-5.1
9,O/D/U/D(MU),-8.0,-4.8,10.5,-5.6,2.7,,28.09.23,-5.1
10,Central,4219,12674,5928,1320,505,,28.09.23,24645
11,State,4031,10882,6282,3600,219,,28.09.23,25013
12,Coal,843,1396,630,666,16,,28.09.23,3551
13,Lignite,33,14,40,0,0,,28.09.23,87
14,Hydro,237,95,72,115,27,,28.09.23,546
15,Nuclear,29,54,76,0,0,,28.09.23,159
0,Demand Met during Evening Peak hrs(MW),52200,61652,48838,21656,2836,,28.10.23,187182
1,Peak Shortage (MW),0,0,0,353,25,,28.10.23,378
2,Energy Met (MU),1141,1507,1227,467,54,,28.10.23,4395
3,Hydro Gen (MU),151,45,67,44,20,,28.10.23,326
4,Wind Gen (MU),15,23,34,-,-,,28.10.23,72
5,Solar Gen (MU),99.39,61.02,112.53,2.81,1.25,,28.10.23,277
6,Energy Shortage (MU),0.61,0.00,0.00,1.73,0.14,,28.10.23,2.48
7,Schedule(MU),194.8,-182.8,150.6,-159.2,-3.5,,28.10.23,0.0
8,Actual(MU),188.2,-161.8,162.7,-187.0,-4.8,,28.10.23,-2.8
9,O/D/U/D(MU),-6.7,21.0,12.1,-27.8,-1.3,,28.10.23,-2.8
10,Central,7338,8569,4278,4151,205,,28.10.23,24540
11,State,6961,9411,3036,1430,121,,28.10.23,20958
12,Coal,702,1600,771,664,17,,28.10.23,3754
13,Lignite,29,13,61,0,0,,28.10.23,103
14,Hydro,151,45,67,44,20,,28.10.23,326
15,Nuclear,15,53,71,0,0,,28.10.23,139
0,Demand Met during Evening Peak hrs(MW),52953,53948,45465,23364,2644,,29.04.23,178374
1,Peak Shortage (MW),0,0,0,314,47,,29.04.23,361
2,Energy Met (MU),1191,1293,1134,536,50,,29.04.23,4205
3,Hydro Gen (MU),182,28,54,41,11,,29.04.23,316
4,Wind Gen (MU),13,44,31,-,-,,29.04.23,88
5,Solar Gen (MU),119.10,43.20,103.43,5.05,0.92,,29.04.23,272
6,Energy Shortage (MU),1.06,0.00,0.00,1.85,1.27,,29.04.23,4.18
7,Schedule(MU),136.5,-212.1,195.1,-121.3,1.8,,29.04.23,0.0
8,Actual(MU),119.2,-192.3,189.6,-124.9,1.7,,29.04.23,-6.8
9,O/D/U/D(MU),-17.3,19.8,-5.5,-3.6,-0.1,,29.04.23,-6.7
10,Central,4587,8541,3958,1370,425,,29.04.23,18881
11,State,6200,13080,3681,1350,264,,29.04.23,24574
12,Coal,749,1420,662,693,13,,29.04.23,3537
13,Lignite,26,22,61,0,0,,29.04.23,109
14,Hydro,182,28,54,41,11,,29.04.23,316
15,Nuclear,29,37,69,0,0,,29.04.23,136
0,Demand Met during Evening Peak hrs(MW),53624,58745,48842,25098,3020,,29.05.23,189329
1,Peak Shortage (MW),820,141,40,1042,298,,29.05.23,2341
2,Energy Met (MU),1187,1367,1181,564,58,,29.05.23,4357
3,Hydro Gen (MU),234,53,85,63,10,,29.05.23,446
4,Wind Gen (MU),19,82,34,-,-,,29.05.23,135
5,Solar Gen (MU),125.31,59.55,113.82,3.02,1.47,,29.05.23,303
6,Energy Shortage (MU),7.51,1.61,0.16,11.13,2.48,,29.05.23,22.89
7,Schedule(MU),150.8,-270.8,187.1,-73.3,6.2,,29.05.23,0.0
8,Actual(MU),119.1,-281.9,221.9,-75.4,7.2,,29.05.23,-9.1
9,O/D/U/D(MU),-31.7,-11.1,34.8,-2.1,1.0,,29.05.23,-9.1
10,Central,4427,9546,6078,1800,480,,29.05.23,22331
11,State,7470,13358,3108,2140,241,,29.05.23,26317
12,Coal,704,1498,697,650,17,,29.05.23,3566
13,Lignite,22,16,42,0,0,,29.05.23,79
14,Hydro,234,53,85,63,10,,29.05.23,446
15,Nuclear,30,38,46,0,0,,29.05.23,113
0,Demand Met during Evening Peak hrs(MW),64990,51080,44854,24564,3104,,29.06.23,188592
1,Peak Shortage (MW),0,0,0,0,20,,29.06.23,20
2,Energy Met (MU),1480,1204,1107,504,61,,29.06.23,4356
3,Hydro Gen (MU),399,38,35,125,24,,29.06.23,622
4,Wind Gen (MU),20,156,218,-,-,,29.06.23,395
5,Solar Gen (MU),121.70,34.81,106.65,2.11,0.84,,29.06.23,266
6,Energy Shortage (MU),0.00,0.00,0.00,0.04,0.87,,29.06.23,0.91
7,Schedule(MU),326.0,-219.8,47.0,-158.5,5.3,,29.06.23,0.0
8,Actual(MU),290.3,-208.7,73.6,-169.2,8.9,,29.06.23,-5.2
9,O/D/U/D(MU),-35.7,11.2,26.6,-10.8,3.5,,29.06.23,-5.2
10,Central,4389,13216,4648,1985,818,,29.06.23,25056
11,State,8605,15653,4608,1950,305,,29.06.23,31120
12,Coal,657,1224,613,609,12,,29.06.23,3115
13,Lignite,28,14,56,0,0,,29.06.23,98
14,Hydro,399,38,35,125,24,,29.06.23,622
15,Nuclear,29,47,46,0,0,,29.06.23,122
0,Demand Met during Evening Peak hrs(MW),65610,53382,45771,23813,3398,,29.07.23,191974
1,Peak Shortage (MW),130,0,0,0,24,,29.07.23,154
2,Energy Met (MU),1430,1222,1028,589,65,,29.07.23,4335
3,Hydro Gen (MU),434,70,75,135,36,,29.07.23,750
4,Wind Gen (MU),51,246,243,-,-,,29.07.23,541
5,Solar Gen (MU),103.08,43.00,112.32,4.68,0.85,,29.07.23,264
6,Energy Shortage (MU),0.26,0.00,0.00,0.14,0.48,,29.07.23,0.88
7,Schedule(MU),268.1,-246.4,19.9,-35.3,-6.2,,29.07.23,0.0
8,Actual(MU),227.1,-253.1,39.0,-15.4,-4.9,,29.07.23,-7.3
9,O/D/U/D(MU),-41.0,-6.7,19.1,20.0,1.3,,29.07.23,-7.3
10,Central,5959,11346,5838,3545,271,,29.07.23,26959
11,State,7675,16783,9563,2928,171,,29.07.23,37120
12,Coal,621,1135,481,533,10,,29.07.23,2780
13,Lignite,23,5,51,0,0,,29.07.23,79
14,Hydro,434,70,75,135,36,,29.07.23,750
15,Nuclear,29,50,63,0,0,,29.07.23,143
0,Demand Met during Evening Peak hrs(MW),72012,64447,46845,26630,2998,,29.08.23,212932
1,Peak Shortage (MW),2754,3308,800,1198,494,,29.08.23,8554
2,Energy Met (MU),1661,1535,1248,603,62,,29.08.23,5109
3,Hydro Gen (MU),373,119,103,139,42,,29.08.23,776
4,Wind Gen (MU),35,131,107,-,-,,29.08.23,273
5,Solar Gen (MU),127.73,56.37,123.37,5.86,1.11,,29.08.23,314
6,Energy Shortage (MU),16.08,20.91,5.56,10.01,2.49,,29.08.23,55.05
7,Schedule(MU),266.1,-287.5,158.7,-123.4,-14.0,,29.08.23,0.0
8,Actual(MU),235.1,-284.6,187.1,-126.3,-13.9,,29.08.23,-2.6
9,O/D/U/D(MU),-31.0,2.9,28.4,-2.9,0.1,,29.08.23,-2.6
10,Central,2341,8794,6048,2420,290,,29.08.23,19892
11,State,4350,10786,6548,3890,160,,29.08.23,25734
12,Coal,894,1497,673,656,12,,29.08.23,3731
13,Lignite,25,13,39,0,0,,29.08.23,77
14,Hydro,373,119,103,139,42,,29.08.23,776
15,Nuclear,24,53,46,0,0,,29.08.23,124
0,Demand Met during Evening Peak hrs(MW),68013,56522,44479,25569,3271,,29.09.23,197854
1,Peak Shortage (MW),217,0,0,236,226,,29.09.23,679
2,Energy Met (MU),1513,1299,1097,593,70,,29.09.23,4573
3,Hydro Gen (MU),234,82,62,107,26,,29.09.23,510
4,Wind Gen (MU),9,46,149,-,-,,29.09.23,205
5,Solar Gen (MU),131.61,55.45,106.82,2.49,1.16,,29.09.23,298
6,Energy Shortage (MU),5.82,2.30,0.00,4.23,1.40,,29.09.23,13.75
7,Schedule(MU),294.4,-272.2,79.8,-108.3,6.3,,29.09.23,0.0
8,Actual(MU),300.7,-280.5,78.6,-110.4,8.6,,29.09.23,-3.1
9,O/D/U/D(MU),6.2,-8.4,-1.2,-2.1,2.3,,29.09.23,-3.1
10,Central,4009,12174,5928,1530,505,,29.09.23,24145
11,State,4321,10150,6152,3260,219,,29.09.23,24101
12,Coal,850,1413,637,661,16,,29.09.23,3575
13,Lignite,34,14,41,0,0,,29.09.23,89
14,Hydro,234,82,62,107,26,,29.09.23,510
15,Nuclear,30,54,66,0,0,,29.09.23,150
